Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,,
2020-01-02 00:00:00+00:00,68.18682098,68.43399811,68.43399811,67.32450104,67.42050171,27278000
2020-01-03 00:00:00+00:00,67.83010101,68.0759964,68.6875,67.36599731,67.40000153,23408000
2020-01-06 00:00:00+00:00,69.63805389,69.89050293,69.91600037,67.55000305,67.58149719,46768000
2020-01-07 00:00:00+00:00,69.50354767,69.75550079,70.17500305,69.57800293,70.02300262,34330000
2020-01-08 00:00:00+00:00,69.99825287,70.2519989,70.59249878,69.63150024,69.74099731,35314000
2020-01-09 00:00:00+00:00,70.73309326,70.98950195,71.43399811,70.51049805,71.09649658,33200000
2020-01-10 00:00:00+00:00,71.18992615,71.44799805,71.74700165,70.98000336,71.47350311,26258000
2020-01-13 00:00:00+00:00,71.74143219,72.00150299,72.0739975,71.26850128,71.76249695,30730000
2020-01-14 00:00:00+00:00,71.27114105,71.52950287,72.13150024,71.3884964,72,26076000
2020-01-15 00:00:00+00:00,71.70008087,71.95999908,72.03900146,71.58300018,71.65100098,21550000
2020-01-16 00:00:00+00:00,72.24610138,72.50800323,72.53500366,72,72.27249908,26080000
2020-01-17 00:00:00+00:00,73.70879364,73.97599792,74.02749634,72.82749939,73.1269989,52424000
2020-01-21 00:00:00+00:00,73.84481812,74.11250305,74.4940033,73.51049805,73.94999695,48930000
2020-01-22 00:00:00+00:00,73.92550659,74.1934967,75.02899933,74.13300323,74.4865036,28458000
2020-01-23 00:00:00+00:00,73.966362,74.23449707,74.67500305,74.01599884,74.37750244,26650000
2020-01-24 00:00:00+00:00,73.0437088,73.3085022,74.70999908,73.15899658,74.64099884,29786000
2020-01-27 00:00:00+00:00,71.32793427,71.58650208,71.82900238,70.97499847,71.57700348,34132000
2020-01-28 00:00:00+00:00,72.26303864,72.52500153,72.73999786,71.51799774,72.08699799,29724000
2020-01-29 00:00:00+00:00,72.57191467,72.83499908,73.20700073,72.26950073,72.92299652,21566000
2020-01-30 00:00:00+00:00,72.44986725,72.71250153,72.76249695,71.75,71.90499878,27110000
2020-01-31 00:00:00+00:00,71.38024139,71.63899994,73.48349762,71.35299683,73.39299774,43822000
2020-02-03 00:00:00+00:00,73.86224365,74.12999725,74.31500244,72.83049774,73.08249664,71636000
2020-02-04 00:00:00+00:00,72.00946045,72.27050018,73.36699677,71.10150146,72.72450256,95880000
2020-02-05 00:00:00+00:00,72.04134369,72.30249786,73.22899628,71.48400116,73.18049622,36376000
2020-02-06 00:00:00+00:00,73.53194427,73.79850006,74.07800293,72.52400208,72.59899902,37822000
2020-02-07 00:00:00+00:00,73.68836975,73.95549774,74.26249695,73.27050018,73.36949921,28360000
2020-02-10 00:00:00+00:00,75.16054535,75.43299866,75.44400024,73.76000214,73.8615036,38302000
2020-02-11 00:00:00+00:00,75.23027802,75.50299835,76.4940033,75.27249908,75.66349792,34852000
2020-02-12 00:00:00+00:00,75.65724182,75.9315033,76.01499939,75.4335022,75.79299927,31042000
2020-02-13 00:00:00+00:00,75.39618683,75.66950226,76.29750061,75.19999695,75.5,22914000
2020-02-14 00:00:00+00:00,75.66221619,75.93650055,76.00250244,75.27749634,75.72650146,23198000
2020-02-18 00:00:00+00:00,75.69759369,75.97200012,76.52799988,75.55049896,75.71700287,25642000
2020-02-19 00:00:00+00:00,75.96810913,76.24349976,76.53700256,76.0490036,76.36000061,22746000
2020-02-20 00:00:00+00:00,75.57553101,75.84950256,76.35350037,75.21299744,75.95050049,25962000
2020-02-21 00:00:00+00:00,73.9050827,74.17299652,75.54750061,73.92449951,75.22899628,42520000
2020-02-24 00:00:00+00:00,70.73657227,70.99299622,71.81900024,70.33950043,71.15249634,49560000
2020-02-25 00:00:00+00:00,69.06562805,69.31600189,71.84249878,69.02100372,71.55000305,51580000
2020-02-26 00:00:00+00:00,69.27237701,69.52349854,70.6835022,68.82749939,69.74900055,49776000
2020-02-27 00:00:00+00:00,65.5100174,65.74749756,68.47000122,65.71199799,67.95700073,62290000
2020-02-28 00:00:00+00:00,66.72062683,66.96250153,67.12249756,63.41049957,63.71549988,80198000
2020-03-02 00:00:00+00:00,69.06562805,69.31600189,69.37349701,66.26000214,67.56950378,55430000
2020-03-03 00:00:00+00:00,66.64441681,66.88600159,70.40950012,66.46199799,69.88400269,56602000
2020-03-04 00:00:00+00:00,68.83049011,69.08000183,69.13899994,66.84999847,67.94799805,47598000
2020-03-05 00:00:00+00:00,65.50055695,65.73799896,67.6815033,65.08200073,67.27749634,54380000
2020-03-06 00:00:00+00:00,64.55299377,64.78700256,65.13749695,62.86050034,63.49750137,64640000
2020-03-09 00:00:00+00:00,60.56992722,60.78950119,62.63650131,59.90200043,60.2480011,69252000
2020-03-10 00:00:00+00:00,63.52820206,63.75849915,63.79249954,60.7254982,62.7195015,54872000
